gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,operation_mode,other_moving_ac,QDepDep,taxi_time
18,18,24,2246.9908158654603,582.4963173343688,0,1969.9523795533412,87.1816780958,612.4411099956866,0,14,0,5.666666666666667
18,18,24,902.6750453407273,398.7929059167311,0,615.991512859413,112.201789352,0.0,0,13,3,12.6
18,18,24,1736.9819542523928,504.2330419736351,0,1068.6878774112429,71.1519727783,886.4465447797426,0,11,0,4.483333333333333
18,18,24,653.5672805453642,183.3432998362418,0,101.2537122451,0.0,0.0,0,11,0,1.1666666666666667
18,18,24,2230.1687438627646,605.0649398442156,0,1628.497746754769,104.571349969,793.0457372249411,0,11,0,9.883333333333333
18,18,24,843.793909364578,258.98516272405703,0,507.7060610318583,116.843538226,0.0,0,11,1,9.766666666666667
18,18,24,2293.4185135311955,701.8976595498509,0,1700.1542994089652,126.201474686,0.0,0,11,0,4.95
19,19,25,1299.9435012863544,242.5147212670701,0,1053.9626219628544,106.733294121,0.0,0,15,0,8.216666666666667
19,19,25,1462.5401647346944,144.39588021912846,0,1121.2900313181765,0.0,974.8760264943768,0,15,1,4.0
19,19,25,3276.1257480021504,540.5321894600471,0,3062.1368233861645,0.0,2008.432047771288,0,15,3,9.666666666666666
19,19,25,2464.566630763516,397.606850216909,0,2282.3974224011304,0.0,974.8760264943768,0,15,2,8.25
19,19,25,257.58727429411374,73.29215309350651,0,84.61933854019948,0.0,0.0,0,14,0,1.3666666666666667
19,19,25,1910.5713302163651,369.7792916682056,0,1695.4444074353046,88.9090138822,974.8760264943768,0,17,4,11.383333333333333
19,19,25,3179.3420409133723,544.2670628097942,0,2933.580738927476,68.8858870922,1019.764459621634,0,17,0,8.116666666666667
19,19,25,3003.8802770110724,539.5005470933711,0,2802.186867561576,68.0426694591,1019.764459621634,0,18,0,10.0
19,19,25,974.1883623623146,398.7975763233092,0,709.0750727290003,90.631546504,0.0,0,17,2,10.666666666666666
19,19,25,964.2767111591146,403.273070992745,0,662.831530627613,101.443894651,0.0,0,17,3,12.2
19,20,25,3620.6429906514777,657.875312028176,0,3303.305290592265,67.0714083598,2643.68037537876,0,11,3,15.75
19,19,25,2132.5034704201603,541.9463476306045,0,1837.1986402088412,116.843538226,612.4411099956866,0,14,0,5.816666666666666
19,20,25,1023.7835643094944,391.0986285284237,0,751.6595470378003,87.1816780958,0.0,0,15,2,9.3
