id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
20-Oct-2024_EZY67NJ ,departure,4740.366666666667,10,17,23,3096.85836252515,966.4843275960885,1,1387.0500990600854,64.6124524558,746.9421803053973,2285.3037297639526,,-1,1,20,49,70,0,0,5,2,0,0
20-Oct-2024_CHH754  ,departure,12.916666666666666,10,10,20,2080.76772175616,477.2563250469817,0,1585.373133778131,120.26799992,768.3105464631772,1192.1891753729828,,-1,0,10,5,1,0,0,6,2,0,0
20-Oct-2024_EZY14HF ,departure,7.016666666666667,10,10,20,558.2181927794711,138.5582384880513,0,378.36028697666825,91.6845157884,0,466.5336769910711,,-1,0,9,4,0,0,0,7,1,0,0
20-Oct-2024_RYR66YB ,departure,1.85,10,10,20,254.51786899369998,83.77705577726769,0,110.1484914272,101.443894651,0,153.07397434269998,,-1,0,8,0,0,0,0,6,2,0,0
20-Oct-2024_DLH947  ,departure,13.466666666666667,16,16,20,2039.9131783532912,824.0984494217225,0,1589.4948889250031,106.733294121,578.1768592638504,1355.003024968441,,-1,1,19,2,4,0,0,7,6,0,0
20-Oct-2024_EZY61WD ,departure,7.416666666666667,16,16,20,1739.0989277549047,750.5816325628119,0,1388.8593436330218,71.8532588843,0,1667.2456688706047,,-1,1,16,0,3,0,0,4,3,0,0
20-Oct-2024_EWG22M  ,arrival,5.616666666666666,16,16,20,2249.6699699779792,370.40209473352706,0,1980.672148190702,67.0385622797,1019.764459621634,1162.8669480766453,,-1,1,13,0,0,0,0,0,0,5,4
20-Oct-2024_SAS62N  ,arrival,5.266666666666667,16,16,20,1725.6990877494097,457.34468221176655,0,1304.1456780692292,112.574782287,0,1613.1243054624097,23R/05L,1,1,13,0,0,0,1,0,0,5,5
20-Oct-2024_EZY91RT ,arrival,3.066666666666667,16,16,20,1750.1081837331876,570.6540247750117,0,1149.9808674801495,104.571349969,0,1645.5368337641876,23R/05L,1,1,15,0,0,0,2,0,0,6,6
20-Oct-2024_EZY62NC ,arrival,3.1166666666666667,16,16,20,1344.1077754033104,343.88455373611316,0,928.7977470268495,88.9090138822,575.4407558091866,679.7580057119237,23R/05L,1,1,16,0,0,1,1,0,0,10,5
20-Oct-2024_EZY35ZP ,departure,18.383333333333333,16,16,20,2568.8292970095004,775.6233447032562,1,1679.957054270265,78.3397662866,0,2490.4895307229003,23L/05R,2,1,18,5,6,0,0,8,5,0,0
20-Oct-2024_RYR9DR  ,departure,9.75,16,16,20,2216.6126505156276,644.559086516949,1,1721.6915177923197,116.843538226,715.1878870562356,1384.5812252333922,23L/05R,2,1,16,1,3,0,0,9,5,0,0
20-Oct-2024_TOM924P ,departure,16.616666666666667,16,16,20,2242.178873397329,742.2454133479299,0,2220.6106470542877,121.806504544,916.9506637659618,1203.4217050873672,,-1,1,21,4,5,0,0,10,6,0,0
