PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,taxi_time
-1.037230013,2.043277561,0.570021254,0.122069116,-0.902448249,0.224999928,-0.778059812,-0.113539474,0.023987165,-0.934406354,0.168918075,0.546466031,5.5
2.919757071,-1.547463367,2.598968857,1.452878408,-0.709219424,-0.957433815,1.544859818,0.992547688,0.366017121,-0.847135283,0.122400292,-0.49555182,13.65
-1.061862737,1.826789898,0.283370782,0.012384266,-0.97540907,0.299961243,-0.686050281,-0.560700934,0.252330639,-0.933225297,0.861196556,0.693260898,5.15
3.043001521,-0.51842809,2.01805088,-0.02485278,-0.901559871,-0.776001087,0.778232349,1.978630657,-0.751861142,-0.785431294,2.233751729,0.525517981,13.56666667
1.116983309,-1.949331297,1.11812984,0.127905812,0.120936631,-0.414209266,-0.952165309,-1.364892201,0.518706504,-0.499773768,-0.459694708,0.563818359,10.31666667
-0.93901368,2.185379827,0.361312359,0.246414674,-1.174498496,0.265392501,-0.368136072,0.096637852,0.151842451,-0.389706703,-0.138866218,0.58934304,5.15
-0.957346496,2.521373042,1.253122099,0.86318546,-1.180723109,0.351563275,0.172607636,0.203643528,-0.785561772,-0.120565361,-0.972745952,0.701689565,5.966666667
3.89776767,-0.881499957,2.872531985,1.515168195,-1.081191008,-1.075859168,2.204979803,1.139595341,0.358719265,-0.791830962,0.147399297,-0.60474704,9.633333333
-0.386793458,3.051461827,1.232720841,0.602870515,-1.367424459,0.341801197,0.449408254,0.57063839,-0.506710135,0.061872707,-1.345904267,0.606030856,5.733333333
1.428199817,-2.05032544,1.374056528,-0.343623772,0.109870674,-0.356307553,-0.800678082,-1.322245093,0.690019857,-0.595124169,-0.537959078,0.712596994,9.55
-0.712745864,3.100653321,1.289205482,0.620952319,-1.277135163,0.382951465,0.380319082,0.388126777,-0.594158932,-0.021077796,-1.294012173,0.66511591,6.383333333
2.243191174,-1.296921397,1.611269332,0.207311442,-0.238042903,-0.413765231,0.173822757,-1.122831727,0.387806257,-0.028747113,-0.880018814,0.737274237,11.36666667
-1.512874217,1.7271611,0.786217867,0.235754172,-0.831410163,0.501404821,-0.307728243,-0.657119016,0.045897561,-0.744230108,0.859959352,0.862123817,5.416666667
-0.919223847,1.681714905,0.508418768,-0.004261884,-0.943055026,0.435465117,-0.043821426,-0.536234037,0.280789456,-0.344796794,0.67968415,0.972200209,5.3
2.429412168,-0.755864327,1.649034925,0.326801743,-0.478376986,-0.501442539,0.436742909,-1.08009167,0.34699497,-0.005436573,-0.920560418,0.595068794,8.65
2.758735594,-1.327879451,2.446992015,1.182122084,-0.751359401,-0.679894902,1.530276593,1.725442391,1.14991189,-0.926428999,0.003621141,-0.796098807,14.6
2.634169828,-1.317162995,2.645139519,1.209133242,-0.882035088,-0.878537639,1.472226464,1.350522704,0.806451875,-1.020100363,0.15442094,-0.833166282,8.95
3.655776569,-0.652423247,2.808225002,1.425026129,-1.125985684,-0.966585577,2.173522013,1.08223219,0.52630994,-0.725718041,0.254357686,-0.725686991,10.26666667
-1.416416492,1.639214964,1.385990466,0.711362806,-0.833820511,0.505745034,-0.309884389,-1.412189476,-0.91080006,-0.947258093,1.268540301,0.912361506,8.3
1.431749723,-2.165112472,1.096531489,-0.360344546,0.425166086,-0.000545412,-1.205573771,-1.197403261,0.975287312,-0.654805282,-0.350205722,0.616294541,12.31666667
3.759058626,-1.096511105,2.60982394,0.82095659,-0.802114539,-0.919857142,1.252322994,0.849174443,0.809976636,-1.387745811,0.78755585,-0.820778373,9.45
0.397044399,-3.259706721,1.870455519,0.978942626,0.510336191,0.213011353,-0.460126443,-0.987745911,0.071794861,-0.080506408,-0.708986236,0.971684908,10.1
-1.286541761,2.629637402,1.465931804,0.962321391,-1.195548588,0.492509324,0.086098403,0.248961146,-0.795217764,-0.261403339,-0.868994846,0.560618458,4.866666667
-0.64612437,-4.288725086,2.06873126,0.885476696,0.591273905,-0.005510239,-1.057343575,-0.833385392,0.06793113,-0.59305604,-0.580385265,0.867978867,3.45
-2.747578895,1.107650468,1.074216073,0.224209377,-0.649794024,0.726972621,-1.937994455,0.910601629,0.085433667,-1.692703924,-0.43459118,0.04903442,3.2
-1.157269117,-4.221717389,1.702418718,0.879272771,0.617889626,0.112208732,-1.02238171,-0.736657677,0.513446095,-0.464769457,-0.405809851,0.827462117,1.5
-0.628441909,-3.782350368,1.918727358,1.445123127,0.422563311,0.129265547,0.20074101,-1.840742695,-0.011477839,0.038602911,0.450320054,1.3488656,1.666666667
-1.474613292,-3.567910377,0.854174943,0.500433334,0.737059263,0.447584919,0.500024956,-1.229772113,0.086703586,0.47316359,0.098928249,-0.393292996,1.85
-1.548699552,1.414370457,0.586295176,0.201503127,-0.604998358,0.83611721,0.818898296,0.469434762,-0.886229146,0.357636081,-0.49207268,-0.5998306,4.933333333
2.931328112,-0.78974104,2.019369828,0.441314983,-0.156200202,0.095624811,0.206984573,-1.320664692,0.014539584,-0.09256386,-0.866141139,0.701453115,51.43333333
-1.314570155,0.97584164,0.029160877,-0.549277982,-0.386307659,0.73259123,0.313144427,-0.732894454,-0.47979921,0.073219583,1.007352005,-0.423157452,5.083333333
2.283301134,-0.995866093,1.114922013,-0.692600905,0.058443492,-0.246390952,0.397673748,-1.12406159,-0.465163074,0.37605448,-1.35778745,-0.889487832,12.58333333
-2.266990831,0.794098946,0.212515467,-0.551242856,-0.267997112,0.95348562,-0.545157158,-0.483707201,-0.634402466,-0.595562563,0.713137399,-0.697986329,4.1
2.00746548,-1.313531162,1.32955058,-0.321473578,0.117595552,-0.168349479,0.407941301,-1.325375319,-0.708212803,0.215294223,-0.917075886,-0.890483852,8.983333333
-1.905594718,1.268168571,0.821363768,0.330407392,-0.551929438,0.984208508,0.554319606,-1.349936981,-1.653894417,-0.153359981,1.0369943,-0.335924868,4.533333333
2.881974892,-1.59055333,2.412579192,0.677391983,-0.424458438,-0.616849093,1.952408115,1.129529677,-0.300487622,-0.599589079,0.160228644,-2.218606701,11.06666667
-2.830003491,3.530150719,2.791013575,-0.666747888,4.739982104,-2.149445304,-2.069816328,0.752953447,-0.424217446,-0.468782739,0.023679065,-1.69634208,4313.483333
